// Co-polarized Raman gain spectrum for SMF fibers
# df	RamanGain
# [ Hz ] [ 1/m/W ]
# PumpWavelength [ nm ] 1500
3.3550E+13	3.75157E-05
3.3600E+13	3.64391E-05
3.3650E+13	3.53624E-05
3.3700E+13	3.42858E-05
3.3750E+13	3.32505E-05
3.3800E+13	3.24418E-05
3.3850E+13	3.16331E-05
3.3900E+13	3.08244E-05
3.3950E+13	3.00157E-05
3.4000E+13	2.92071E-05
3.4050E+13	2.86411E-05
3.4100E+13	2.80879E-05
3.4150E+13	2.75348E-05
3.4200E+13	2.69816E-05
3.4250E+13	2.64284E-05
3.4300E+13	2.60300E-05
3.4350E+13	2.58637E-05
3.4400E+13	2.56974E-05
3.4450E+13	2.55311E-05
3.4500E+13	2.53648E-05
3.4550E+13	2.51985E-05
3.4600E+13	2.50323E-05
3.4650E+13	2.49303E-05
3.4700E+13	2.48438E-05
3.4750E+13	2.47573E-05
3.4800E+13	2.46708E-05
3.4850E+13	2.46250E-05
3.4900E+13	2.46250E-05
3.4950E+13	2.46250E-05
3.5000E+13	2.46250E-05
3.5050E+13	0.00000E+00
10.000E+13	0.00000E+00
